movieId,title,genres,year,cast,director,producer,screenwriter,composer,editor,distributor,country
23,Assassins,Action|Crime|Thriller,1995,Gina Gin,Daniel Lee,Lee Ji-seung,Marcello Andrei,Masaru Sato,Yoshitami Kuroiwa,Toho,People's Republic of China
26,Othello,Drama,1995,Sean Michaels,Elizabeth Shearer White,Anthony Havelock-Allan,Karl Mueller-Hagens,Jonas Gwangwa,Thea Richter,UFA,United States of America
27,Now and Then,Children|Drama,1995,Ric Reitz,Lesli Linka Glatter,Suzanne Todd,I. Marlene King,Cliff Eidelman,Jacqueline Cambas,Netflix,United States of America
31,Dangerous Minds,Drama,1995,Courtney B. Vance,John N. Smith,Jerry Bruckheimer,Ronald Bass,Wendy Melvoin,Tom Rolf,Walt Disney Studios Motion Pictures,United States of America
34,Babe,Children|Drama,1995,Ramon Teixidor i,Ignasi P. i Serra,Antoni Llorens i,Company,Joan Vives Sanfeliu,Harry W. Gerstad,iTunes,Spain
35,Carrington,Drama|Romance,1995,Noelle Middleton,Anthony Asquith,Ronald Shedlo,Campbell Christie,Michael Nyman,George Akers,British Lion Films,United Kingdom
36,Dead Man Walking,Crime|Drama,1995,Barton Heyman,Tim Robbins,Jon Kilik,Tim Robbins,David Robbins,Lisa Zeno Churgin,Gramercy Pictures,United States of America
38,It Takes Two,Children|Comedy,1995,Marian,Andrei Gheorghe,Andrei Gheorghe,Andrei Gheorghe,Paul Ilea,Jolanda Benvenuti,Romana Film,Romania
40,the Beloved Country,Drama,1995,Charles S. Dutton,Darrell Roodt,Harry Alan Towers,Ronald Harwood,John Barry,David Eady,Netflix,South Africa
41,Richard III,Drama|War,1995,Richard Hawley,Manfred Wekwerth,David Carradine,Ruiz,Fischer,Helga Keller,London Films,German Democratic Republic
42,Dead Presidents,Action|Crime|Drama,1995,Elizabeth Rodriguez,Allen Hughes,Michael Bennett,Hughes brothers,Danny Elfman,Dan Lebental,Walt Disney Studios Motion Pictures,United States of America
44,Mortal Kombat,Action|Adventure|Fantasy,1995,J.J. Perry,Rick Morales,Sam Register,John Tobias,George S. Clinton,Martin Hunter,Warner Bros.,United States of America
46,How to Make an American Quilt,Drama|Romance,1995,Holland Taylor,Jocelyn Moorhouse,Sarah Pillsbury,Jane Anderson,Thomas Newman,Jill Bilcock,Netflix,United States of America
51,Guardian Angel,Action|Drama|Thriller,1994,Dinarte de Freitas,Maia,Fernando Vendrell,Maia,Zoran,Michal Leszczylowski,Amazon Prime Video,Nigeria
52,Mighty Aphrodite,Comedy|Drama|Romance,1995,Donald Symington,Woody Allen,Robert Greenhut,Woody Allen,Dick Hyman,Susan E. Morse,Netflix,United States of America
53,Lamerica,Adventure|Drama,1994,Carmelo Di Mazzarelli,Gianni Amelio,Vittorio Cecchi Gori,Gianni Amelio,Franco Piersanti,Simona Paggi,New Yorker Films,France
55,Georgia,Drama,1995,Jane Alexander,Harry Gant,Regina Ziegler,Julian Barry,Dato Evgenidze,Salome Tkebuchava,Embassy Pictures,Georgia
57,Home for the Holidays,Drama,1995,Susan Lyall,Jodie Foster,Jodie Foster,W. D. Richter,Mark Isham,Lynzee Klingman,Netflix,United States of America
61,Eye for an Eye,Drama|Thriller,1996,Xan Cejudo,Atro Lahtela,Maryse Rouillard,Jorge,Maika Makovski,George T. Clarke,Netflix,Finland
69,Friday,Comedy,1995,Nasir Uddin Khan,Raihan Rafi,Arthur Marks,Kathrin Pitterling,Ludwig Schmidseder,Alexander Fisch,World Film Company,Bangladesh
70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996,Ara Celi,Chia Li,Lawrence Bender,Robert Rodriguez,Nathan Barr,Bob Murawski,Netflix,Taiwan
71,Fair Game,Action,1995,John Loder,Miodrag Zarkovic,Jez Butterworth,Arthur Schnitzler,Felix Bartsch,Christopher Tellefsen,Netflix,Germany
76,Screamers,Action|Sci-Fi|Thriller,1995,Tim Rozon,Sheldon Wilson,Tom Berry,Miguel Tejada-Flores,Jeff Atmajian,Yves Langlois,Sony Pictures Home Entertainment,United States of America
81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995,Tommy Lister Jr.,Gary Fleder,Cary Woods,Scott Rosenberg,Michael Convertino,Richard Marks,Vudu,United States of America
88,Black Sheep,Comedy,1996,Wade Boteler,Jay Hunt,William Nicholas Selig,Allen Rivkin,Samuel Kaylin,Ed Perkins,First National,United States of America
89,Nick of Time,Action|Thriller,1995,Yul Vazquez,Alfred Rolfe,John Badham,Patrick Sheane Duncan,Arthur B. Rubinstein,Frank Morriss,UIP-Dunafilm,Australia
92,Mary Reilly,Drama|Horror|Thriller,1996,Emma Griffiths Malin,Stephen Frears,Norma Heyman,Christopher Hampton,George Fenton,Lesley Walker,Netflix,United States of America
93,Vampire in Brooklyn,Comedy|Horror|Romance,1995,Jsu Garcia,Wes Craven,Eddie Murphy,Charlie Murphy,J. Peter Robinson,Patrick Lussier,Paramount Pictures,United States of America
94,Beautiful Girls,Comedy|Drama|Romance,1996,Adam LeFevre,Ted Demme,Cary Woods,Scott Rosenberg,David A. Stewart,Jeffrey Wolf,Netflix,United States of America
95,Broken Arrow,Action|Adventure|Thriller,1996,David Fine,Reid Gershbein,Reid Gershbein,Albert Maltz,Hugo Friedhofer,J. Watson Jr.,Vudu,United States of America
98,Shopping,Action|Thriller,1994,Tatyana Kolganova,Dimitar Kotsev,Quentin Lee,Dietmar Post,Alex Heffes,Karl-W. Huelsenbeck,Madman Entertainment,Bulgaria
100,City Hall,Drama|Thriller,1996,Murphy Guyer,Frederick Wiseman,Harold Becker,Bo Goldman,Jerry Goldsmith,David Bretherton,Netflix,United States of America
104,Happy Gilmore,Comedy,1996,David Kaye,Dennis Dugan,Robert Simonds,Tim Herlihy,Mark Mothersbaugh,Jeff Gourson,Netflix,United States of America
110,Braveheart,Action|Drama|War,1995,Lillian Rich,Kari Anne Moe,Anita Rehoff Larsen,Kari Anne Moe,James Horner,Robert,Producers Distributing Corporation,Norway
111,Taxi Driver,Crime|Drama|Thriller,1976,Adeyemi Afolayan,Adeyemi Afolayan,Finos Film,Gunther Gerzs,Jo Yeong-wook,Kim Sang-bum,Hulu,Nigeria
120,Race the Sun,Adventure|Comedy|Drama,1996,Robert Hughes,Charles T. Kanganis,Barry Morrow,Barry Morrow,Graeme Revell,Wendy Greene Bricmont,Netflix,United States of America
129,Pie in the Sky,Comedy|Romance,1996,Brigid Berlin,Vincent Fremont,Vincent Fremont,Allen Baron,Chris Stein,Ralph Rosenblum,Fine Line Features,United States of America
130,Angela,Drama,1995,Angela White,Yolande DuLuart,Angela Ricci Lucchi,Jennifer Abod,Mario Nascimbene,Yervant Gianikian,20th Century Studios,United States of America
132,Jade,Thriller,1995,Yves Lambrecht,Frank Hall Crane,Midi Z,Myriam Guimond,Lim Giong,Arizona O'Neill,Spira,United States of America
135,Down Periscope,Comedy,1996,James Martin Jr.,David S. Ward,Robert Lawrence,Hugh Wilson,Randy Edelman,William M. Anderson,Netflix,United States of America
137,Man of the Year,Documentary,1995,Dirk Shafer,Dirk Shafer,Marco Vicario,Dirk Shafer,Peitor Angell,Sergio Montanari,Universal Pictures,United States of America
139,Target,Action|Drama,1995,Tarick Salmaci,Christopher Wilcha,Sunil Soraya,Raditya Dika,Ludwig,Richard Fantl,Netflix,Philippines
145,Bad Boys,Action|Comedy|Crime|Drama|Thriller,1995,Ivo Nandi,Bilall Fallah,Doug Belgrad,Chris Bremner,Lorne Balfe,Dan Lebental,Sony Pictures Motion Picture Group,Mexico
149,Amateur,Crime|Drama|Thriller,1994,Michael Rainey Jr.,Joel Schumacher,Shemsu J. Lefevre,Gabriela Pichler,Hugo Friedhofer,Mark Thornton,Exchange,United States of America
150,Apollo 13,Adventure|Drama|IMAX,1995,Ray McKinnon,Ron Howard,Brian Grazer,William Jr.,James Horner,Daniel P. Hanley,UIP-Dunafilm,United States of America
151,Rob Roy,Action|Drama|Romance|War,1995,Simeon Stuart,W. P. Kellino,Richard Jackson,Alicia Ramsey,Carter Burwell,Peter Honess,Gaumont-British Picture Corporation,United Kingdom
153,Batman Forever,Action|Adventure|Comedy|Crime,1995,Eileen Seeley,Joel Schumacher,Tim Burton,Akiva Goldsman,Elliot Goldenthal,Mark Stevens,InterCom,United States of America
156,Blue in the Face,Comedy|Drama,1995,Keith David,Wayne Wang,Bob Weinstein,Paul Auster,John Lurie,Christopher Tellefsen,Netflix,United States of America
158,Casper,Adventure|Children,1995,Wilhelm,Aurora Langaas,Dyveke Graver,Jason,Lars Kilevold,Rydland Thyholdt,SF Norge,Norway
159,Clockers,Crime|Drama|Mystery,1995,Paul Schulze,Spike Lee,Martin Scorsese,Spike Lee,Terence Blanchard,Sam Pollard,Netflix,United States of America
161,Crimson Tide,Drama|Thriller|War,1995,Warren Olney,Tony Scott,Don Simpson,Richard P. Henrick,Alfredo Catalani,Chris Lebenzon,Walt Disney Studios Motion Pictures,United States of America
162,Crumb,Documentary,1994,Marco Almind,Michael Asmussen,Tove Grasten,Torvald Lervald,Michel Colombier,Maj Soya,Nordisk Film,United States of America
163,Desperado,Action|Romance|Western,1995,Wim Wenders,Leo D. Maloney,Nathan Kahane,Silke,Mateo Messina,Andrea,Netflix,United States of America
171,Jeffrey,Comedy|Drama,1995,Bo Svenson,Yanillys Perez,Paul Rudnick,Carl Crew,David R. Bowen,Cara Silverman,Netflix,Dominican Republic
172,Johnny Mnemonic,Action|Sci-Fi|Thriller,1995,Coyote Shivers,Robert Longo,Don Carmody,William Gibson,Mychael Danna,Ronald Sanders,Netflix,United States of America
173,Judge Dredd,Action|Crime|Sci-Fi,1995,Angus MacInnes,Danny Cannon,Edward R. Pressman,Michael De Luca,Alan Silvestri,Harry Keramidas,Vudu,United States of America
177,Lord of Illusions,Horror,1995,Sheila Tousey,Clive Barker,Steve Golin,Clive Barker,Simon Boswell,Alan Baumgarten,Netflix,United States of America
180,Mallrats,Comedy|Romance,1995,Sven-Ole Thorsen,Kevin Smith,Sean Daniel,Kevin Smith,Ira Newborn,Paul Dixon,Gramercy Pictures,United States of America
181,Mighty Morphin Power The Movie,Action|Children,1995,Nicholas Bell,Bryan Spicer,Suzanne Todd,John Kamps,Graeme Revell,Wayne Wahrman,Netflix,United States of America
187,Party Girl,Comedy,1995,Douglas Fairbanks Jr.,Victor Hugo Halperin,Denis Carot,Marie Amachoukeli,Anton Sanko,John Jr.,Tiffany Pictures,United States of America
189,Reckless,Comedy|Fantasy,1995,T. Roy Barnes,Raymond K. Johnson,Fulvio Lucisano,Walter Woods,Lee Zahler,Albert Magnoli,First National,United States of America
190,Safe,Thriller,1995,Robert Ahola,Herk Harvey,Russell A. Mosser,Margaret Travis,Joel Goldsmith,Paul-Michael Sedlacek,Vertical Entertainment,Croatia
192,The Show,Documentary,1995,Luis Polack,Damien Mestokosho,Jorge Gurevich,Alan Moore,Hilmar Hilmarsson,Damon Barnes,Netflix,Canada
194,Smoke,Comedy|Drama,1995,Jason Cabell,Tope Oshin,Montie Montana,Daniel Peralta,Julio de la Rosa,Miroslav,Warner Bros. Pictures,Estonia
196,Species,Horror|Sci-Fi,1995,Otero,Estibaliz Urresola Solaguren,Roger Corman,Estibaliz Urresola Solaguren,Kevin Kiner,Tom Walls,Warner Bros. Television Studios,Spain
198,Strange Days,Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995,Joe Urla,Kathryn Bigelow,James Cameron,Jay Cocks,Graeme Revell,James Cameron,UIP-Dunafilm,United States of America
202,Total Eclipse,Drama|Romance,1995,Christopher Chaplin,Agnieszka Holland,Victor Glynn,Christopher Hampton,Jan A. P. Kaczmarek,Isabelle Lorente,Fine Line Features,United Kingdom
203,To Wong Thanks for Julie Newmar,Comedy,1995,Jason London,Beeban Kidron,Walter F. Parkes,Douglas Carter Beane,Rachel Portman,Andrew Mondshein,Universal Pictures,United States of America
204,Under Siege Dark Territory,Action,1995,Jonathan Banks,Geoff Murphy,Arnon Milchan,Richard Hatem,Basil Poledouris,Michael Tronick,Netflix,United States of America
205,Unstrung Heroes,Comedy|Drama,1995,Candice Azzara,Diane Keaton,Susan Arnold,Richard LaGravenese,Thomas Newman,Lisa Zeno Churgin,Walt Disney Studios Motion Pictures,United States of America
208,Waterworld,Action|Adventure|Sci-Fi,1995,R. D. Call,Kevin Reynolds,Kevin Costner,Peter Rader,James Newton Howard,Peter Boyle,Netflix,United States of America
210,Wild Bill,Western,1995,Wild Bill Elliott,Joseph H. Lewis,Harry Grey,Anthony Coldeway,Mort Glickman,Richard Fantl,Columbia Pictures,United States of America
216,Billy Madison,Comedy,1995,Marcia Bennett,Tamra Davis,Robert Simonds,Tim Herlihy,Randy Edelman,John Gilroy,Netflix,United States of America
218,Boys on the Side,Comedy|Drama,1995,Jude Ciccolella,Herbert Ross,Arnon Milchan,Don Roos,David Newman,Michael R. Miller,Vudu,United States of America
222,Circle of Friends,Drama|Romance,1995,Jameson Parker,Rob Cohen,Tim Zinnemann,Andrew Davies,Jim Steinman,John Jympson,Netflix,United States of America
223,Clerks,Comedy,1994,Austin Zajur,Kevin Smith,Bob Weinstein,Kevin Smith,James L. Venable,Kevin Smith,Lionsgate Films,United States of America
224,Don Juan DeMarco,Comedy|Drama|Romance,1995,Trevor Long,Jeremy Leven,Francis Ford Coppola,Jeremy Leven,Michael Kamen,Antony Gibbs,Netflix,United States of America
225,Disclosure,Drama|Thriller,1994,Leo Sheng,Sam Feder,Michael Crichton,Tony Johnston,Eric Robertson,Stu Linder,Netflix,Australia
227,Drop Zone,Action|Thriller,1994,Robert LaSardo,John Badham,John Badham,Peter Barsocchini,Hans Zimmer,Frank Morriss,United International Pictures,United States of America
230,Dolores Claiborne,Drama|Thriller,1995,Roy Cooper,Taylor Hackford,Taylor Hackford,Tony Gilroy,Danny Elfman,Mark Warner,Netflix,United States of America
233,Exotica,Drama,1994,Khanjian,Atom Egoyan,Atom Egoyan,Atom Egoyan,Mychael Danna,Susan Shipton,Netflix,Canada
235,Ed Wood,Comedy|Drama,1994,Melora Walters,Tim Burton,Tim Burton,Larry Karaszewski,Howard Shore,Chris Lebenzon,InterCom,United States of America
237,Forget Paris,Comedy|Romance,1995,Richard Masur,Billy Crystal,Billy Crystal,Billy Crystal,Anita Baker,Kent Beyda,Netflix,United States of America
240,Hideaway,Thriller,1995,Rasmus Gottlieb,Richard Rosson,Cliff Reid,J. Robert Bren,Fuzzy,Ghita Beckendorff,Egmont Film,United States of America
247,Heavenly Creatures,Crime|Drama,1994,Jed Brophy,Peter Jackson,Peter Jackson,Peter Jackson,Peter Dasent,Jamie Selkirk,Netflix,New Zealand
248,Houseguest,Comedy,1994,John Cale,Franz Harland,Shin Sang-ok,Joo Yoseop,John Cale,Ramin Niami,Walt Disney Studios Motion Pictures,United States of America
249,Immortal Beloved,Drama|Romance,1994,Hermann Schomberg,Veit Harlan,Hans Domnick,Bernard Rose,Wolfgang Zeller,Margarete Steinborn,Netflix,Germany
252,I.Q.,Comedy|Romance,1994,Frankie Chan,Frankie Chan,Scott Rudin,Andy Breckman,Jerry Lee,Cheung Kwok-che,UIP-Dunafilm,Hong Kong
256,Junior,Comedy|Sci-Fi,1994,Saint Obi,Toni Dele Akinyemi,Colbert Clark,Armando Tavera,Chakri,Mel Thorsen,Netflix,Nigeria
257,Just Cause,Mystery|Thriller,1995,Christopher Murray,Arne Glimcher,Lee Rich,John Katzenbach,James Newton Howard,William M. Anderson,Netflix,United States of America
259,Kiss of Death,Crime|Drama|Thriller,1995,Myles O'Brien,Andrei Feher,Eilif Skaar,Pupi Avati,Piero Piccioni,Lee Percy,Simitar Entertainment,United States of America
261,Little Women,Drama,1994,Sarah Davenport,Clare Niederpruem,Maclain Nelson,Clare Niederpruem,Thomas Newman,Nick Houy,Pinnacle Peak Pictures,United States of America
270,Love Affair,Drama|Romance,1994,Nurtas Adambay,Signe Baumane,Nurtas Adambay,Nurtas Adambay,Francis Poulenc,Martial Salomon,Pyramide Distribution,Latvia
274,Man of the House,Comedy,1995,Shea Whigham,Mikio Naruse,Steven Reuther,John J. McLaughlin,David Newman,Chris Lebenzon,Netflix,Japan
276,Milk Money,Comedy|Romance,1994,Margaret Nagle,Richard Benjamin,Frank Marshall,John Mattson,Michael Convertino,Jacqueline Cambas,Netflix,United States of America
279,My Family,Drama,1995,Tio Pakusadewo,Hao Wu,Poul Bang,Hao Wu,Mark McKenzie,Hao Wu,Netflix,United States of America
281,Nobody's Fool,Comedy|Drama|Romance,1994,Marie Prevost,King Baggot,Scott Rudin,Doris Schroeder,James Newton Howard,John Bloom,Paramount Pictures,United States of America
288,Natural Born Killers,Action|Crime|Thriller,1994,Matthew Faber,Oliver Stone,Thom Mount,Richard Rutowski,Leonard Cohen,Brian Berdan,InterCom,United States of America
289,Only You,Comedy|Romance,1994,Josh O'Connor,Harry Wootliff,Feng Xiaogang,Harry Wootliff,Isaak Dunayevsky,Lena Neumann,Metro-Goldwyn-Mayer,United Kingdom
292,Outbreak,Action|Drama|Sci-Fi|Thriller,1995,George Mallaby,Jefferson Lewis,Gail Katz,Ron McLean,James Newton Howard,Neil Travis,Millennium Media,Liberia
297,Panther,Drama,1995,Charlotte Hill O'Neal,Aaron Matthews,Sally Jo Fifer,Ryan Coogler,Savvy Gupta,Aaron Matthews,Walt Disney Studios Motion Pictures,United States of America
300,Quiz Show,Drama,1994,Kim Soo-ro,Jang Jin,Jang Jin,Jang Jin,Mark Isham,Stu Linder,Cinema Service,South Korea
312,Stuart Saves His Family,Comedy,1995,Marjorie Lovett,Harold Ramis,Lorne Michaels,Al Franken,Marc Shaiman,Pembroke J. Herring,Paramount Pictures,United States of America
319,Shallow Grave,Comedy|Drama|Thriller,1994,Robert David MacDonald,Danny Boyle,Andrew Macdonald,John Hodge,Simon Boswell,Masahiro Hirakubo,Gramercy Pictures,United States of America
333,Tommy Boy,Comedy,1995,Sean McCann,Peter Segal,Lorne Michaels,Bonnie and Terry Turner,David Newman,William Kerr,Netflix,United States of America
335,Underneath,Mystery|Thriller,1995,Zbigniew Kaleta,Marek Gajczak,Julius Hagen,Marek Gajczak,Agressiva 69,Raimondo Crociani,Monolith Films,Poland
337,What's Eating Gilbert Grape,Drama,1993,Kevin Tighe,Lasse,Lasse,Peter Hedges,Alan Parker,Andrew Mondshein,Netflix,United States of America
338,Virtuosity,Action|Sci-Fi|Thriller,1995,Eric Bernt,Brett Leonard,Gary Lucchesi,Eric Bernt,Christopher Young,Conrad Buff IV,Netflix,United States of America
342,Muriel's Wedding,Comedy,1994,Toni Collette,P. J. Hogan,Jocelyn Moorhouse,P. J. Hogan,Peter Best,Jill Bilcock,Netflix,Australia
344,Ace Pet Detective,Comedy,1994,Bill Zuckert,Tom Shadyac,James G. Robinson,Jack Bernstein,Ira Newborn,Don Zimmerman,InterCom,United States of America
346,Backbeat,Drama|Musical,1993,Gary Bakewell,Iain Softley,Stephen Woolley,Michael Thomas,Don Was,Martin Walsh,Gramercy Pictures,Germany
347,Bitter Moon,Drama|Film-Noir|Romance,1992,Hugh Grant,Roman Polanski,Alain Sarde,Roman Polanski,Vangelis,de Luze,Netflix,United Kingdom
349,Clear and Present Danger,Action|Crime|Drama|Thriller,1994,Michael Jace,Phillip Noyce,Mace Neufeld,Donald E. Stewart,James Horner,Neil Travis,Netflix,United States of America
351,Corrina,Comedy|Drama|Romance,1994,K. T. Stevens,Jessie Nelson,Steve Tisch,Jessie Nelson,Thomas Newman,Lee Percy,Netflix,United States of America
352,Crooklyn,Comedy|Drama,1994,RuPaul,Spike Lee,Lee,Joie Lee,Terence Blanchard,Spike Lee,Netflix,United States of America
354,Cobb,Drama,1994,Fernande Albany,Georges,Laurene Williams,Laurene Williams,Lajos,Gyula Gazdag,Exchange,France
356,Forrest Gump,Comedy|Drama|Romance|War,1994,Tim Perry,Robert Zemeckis,Steve Tisch,Eric Roth,Alan Silvestri,Arthur Schmidt,UIP-Dunafilm,United States of America
357,Four Weddings and a Funeral,Comedy|Romance,1994,Bernice Stegers,Mike Newell,Tim Bevan,Richard Curtis,Richard Rodney Bennett,Jon Gregory,Gramercy Pictures,United Kingdom
360,I Love Trouble,Action|Comedy,1994,Claire Carleton,S. Sylvan Simon,S. Sylvan Simon,Roy Huggins,George Duning,Al Clark,Columbia Pictures,United States of America
361,It Could Happen to You,Comedy|Drama|Romance,1994,Harold Miller,Alfred L. Werker,Mike Lobell,Lou Breslow,Alberto Colombo,Barry Malkin,20th Century Studios,United States of America
368,Maverick,Adventure|Comedy|Western,1994,Glen Powell,Joseph Kosinski,Dana Goldberg,Justin Marks,Hans Zimmer,Eddie Hamilton,UIP-Dunafilm,United States of America
369,Mrs. Parker and the Vicious Circle,Drama,1994,Eleanor Noble,Alan Rudolph,Robert Altman,Alan Rudolph,Mark Isham,Suzy Elmiger,Fine Line Features,United States of America
377,Speed,Action|Romance|Thriller,1994,Katariina Havukainen,Aleksi,Chris Romano,Yulia Lokshina,Stelvio Cipriani,Yulia Lokshina,Universal Pictures,Finland
378,Speechless,Comedy|Romance,1994,Paul Lazar,Ana Osorio,Renny Harlin,Robert King,Marc Shaiman,Richard Francis-Bruce,Netflix,Colombia
379,Timecop,Action|Sci-Fi|Thriller,1994,Ron Gilbert,Steve Boyum,Mike Elliott,Gary Scott Thompson,Andy Gray,Steven Kemper,Netflix,United States of America
380,True Lies,Action|Adventure|Comedy|Romance|Thriller,1994,Charlton Heston,James Cameron,Stephanie Austin,Simon,Brad Fiedel,Mark Goldblatt,InterCom,United States of America
382,Wolf,Drama|Horror|Romance|Thriller,1994,Hong Ji-yoon,Cees van Kempen,Tyler Hoechlin,Kim Hong-seon,Toshiaki Tsushima,Shin Min-kyung,YouTube,South Korea
383,Wyatt Earp,Western,1994,Wes Brown,Michael Feifer,Jim Wilson,Lawrence Kasdan,James Newton Howard,Carol Littleton,Netflix,United States of America
384,Bad Company,Action|Crime|Drama,1995,Ricardo Cortez,Tay Garnett,Harry Joe Brown,Jack Lait,Arthur Lange,Stuart H.,RKO Pictures,United States of America
393,Street Fighter,Action|Adventure|Fantasy,1994,Etsuko Shihomi,Kazuhiko Yamaguchi,Kaoru Mfaume,Noribumi Suzuki,Shunsuke Kikuchi,Edward M. Abroms,Toei Company,South Korea
401,Mirage,Action|Thriller,1995,Omar Lotfi,Talal Selhami,Aleksandr Khanzhonkov,Katerina Vinoqradskaya,David Campbell,Saeid Asadi,Amazon Prime Video,Morocco
410,Addams Family Values,Children|Comedy|Fantasy,1993,Chris Ellis,Barry Sonnenfeld,Scott Rudin,Paul Rudnick,Marc Shaiman,Jim Miller,UIP-Dunafilm,United States of America
413,Airheads,Comedy,1994,Amy Locane,Michael Lehmann,Mark Burg,Rich Wilkes,Carter Burwell,Stephen Semel,Netflix,United States of America
415,Another Stakeout,Comedy|Thriller,1993,Christopher Doyle,John Badham,Jim Kouf,Jim Kouf,Arthur B. Rubinstein,Frank Morriss,Walt Disney Studios Motion Pictures,United States of America
416,Bad Girls,Western,1994,Ella Chen,Jacques Daniel-Norman,Jonathan Sheinberg,Andy Lane,Sean Murray,Nino Baragli,Universal Studios Home Entertainment,France
417,Barcelona,Comedy|Romance,1994,Francesca,Ventura Pons,Oriol Ivern i,Ventura Pons,Pascal Comelade,Teresa Alcocer,HOOQ,Catalonia
418,Being Human,Drama,1993,Andrew Tiernan,Denys Desjardins,Yves Bisaillon,Denys Desjardins,Michael Gibbs,Elric Robichon,National Film Board of Canada,Canada
422,Blink,Thriller,1994,Betty Balfour,Paul Taublieb,Byron M. Jones,Oliver Sandys,Danica McKellar,Bert Jacobs,Gaumont-British Picture Corporation,United States of America
423,Blown Away,Action|Thriller,1994,Jean Leclerc,Micha Schulze,Pen Densham,Robert C. Cooper,Paul Zaza,Micha Schulze,UIP-Dunafilm,Germany
426,Body Snatchers,Horror|Sci-Fi|Thriller,1993,Art Hindle,Philip Kaufman,Walter Wanger,W. D. Richter,Denny Zeitlin,Douglas Stewart,United Artists Corporation,United States of America
429,Cabin Boy,Comedy,1994,Jim Cummings,Adam Resnick,Denise Di Novi,Adam Resnick,Steve Bartek,Jon Poll,Walt Disney Studios Motion Pictures,United States of America
430,Calendar Girl,Comedy|Drama,1993,Kyra Dutt,Madhur Bhandarkar,Allan Dwan,Madhur Bhandarkar,Amaal Mallik,Fred Allen,UTV Motion Pictures,India
431,Carlito's Way,Crime|Drama,1993,Gary Swanson,Michael Bregman,Martin Bregman,Edwin Torres,Joe Delia,Kristina Boden,Netflix,United States of America
432,City Slickers The Legend of Curly's Gold,Adventure|Comedy|Western,1994,Jack Palance,Paul Weiland,Billy Crystal,Billy Crystal,Marc Shaiman,William M. Anderson,Netflix,United States of America
433,Clean Slate,Comedy,1994,Angela Paton,Mick Jackson,Richard D. Zanuck,Robert King,Alan Silvestri,Priscilla Nedd-Friendly,Netflix,United States of America
434,Cliffhanger,Action|Adventure|Thriller,1993,Gregory Scott Cummins,Ric Roman Waugh,Mario Kassar,Michael France,Trevor Jones,Frank J. Urioste,InterCom,France
436,Color of Night,Drama|Thriller,1994,Blades,Richard Rush,Andrew G. Vajna,Billy Ray,Dominic Frontiere,Jack Hofstra,Walt Disney Studios Motion Pictures,United States of America
439,Dangerous Game,Drama,1993,Hermann Leffler,John Rawlins,Carl Laemmle,Steve Morelli,Georg Haentzschel,Archie Marshek,Tallinnfilm,United States of America
